gaiadr2_id,ra,dec,e_ra,e_dec,pmRA,pmDE,epoch_yr,time_bjd,airmass,mag_g,emag_g,mag_r,emag_r,mag_i,emag_i,mag_z,emag_z,obs_mag_g,obs_emag_g,obs_mag_r,obs_emag_r,obs_mag_i,obs_emag_i,obs_mag_z,obs_emag_z,time_from_midnight
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.5523166596,1.4901583457921905,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.323393583564659,0.007698049540969625,-14.61393080457269,0.0074638125719147545,-13.866579111043972,0.008188923429339422,-13.346789132206823,0.007230417076324745,-1.794571414589882
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.5624174704,1.402163286430394,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.34032483505639,0.02027663451186148,-14.617747910772124,0.013909418641811345,-13.86691300623592,0.01341165015685989,-13.347891395516475,0.013969812834211323,-1.5707688331604004
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.5723928674,1.3289484305606203,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.37770645822583,0.016557742221474527,-14.6425841687733,0.01191477805322751,-13.88727775845461,0.009918996162728769,-13.366292303744089,0.012643401792040678,-1.3124949149787426
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.5823952192,1.2668151562890826,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.392777007178063,0.02085561872501215,-14.648492299028023,0.01507221207781906,-13.889632909021318,0.012691997409114924,-13.368657429553807,0.014970571627965916,-1.0913280062377453
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.592382673,1.2141050819290908,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.421148053174765,0.004735951668435832,-14.66654159091029,0.005827820671842841,-13.903988341390232,0.00581456465844632,-13.381964260247841,0.00605902953502697,-0.8322016261518002
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.6023730715,1.1693638783870541,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.436381500905885,0.0073616346940514,-14.675908316327023,0.005336845864688974,-13.91112643001083,0.005259080423792185,-13.386539665684026,0.0045900529891779885,-0.611695546656847
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.6123560676,1.1314577292260388,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.445192734277969,0.004631981682837109,-14.68125925343616,0.003936422946393788,-13.91452299627096,0.00335947297109794,-13.39024288563115,0.0028189598396782963,-0.35238373652100563
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.622333335,1.0995606279111338,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.453064370943137,0.004581762152916965,-14.68474879965405,0.004789733757424546,-13.91600248011706,0.004007591538222854,-13.390784123865748,0.002703070328664558,-0.14878660440444946
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.632339343,1.072847609392189,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.463433448691497,0.004739010145873729,-14.690334563316764,0.004403986642422445,-13.921340899337773,0.0033470882162465075,-13.395977225221094,0.0028705728411526727,0.14573461934924126
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.642337773,1.050935929783115,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.46786254254571,0.004036676791583005,-14.691568899977288,0.005416551446074571,-13.921491650634998,0.0033652443418132442,-13.395677320726037,0.003672729748083916,0.3482481501996517
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.652428175,1.0332120033724448,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.46908788717181,0.004455989752340492,-14.691610861086902,0.005119241068029045,-13.920465522664438,0.004467916770248726,-13.39397660082514,0.0037710088186639333,0.6096752621233463
4.083150710237259e+18,290.81428939619,-20.20076653274,0.0,0.0,14.379,-9.03,2015.5,2460479.662418218,1.0196869018739934,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.470289410186766,0.004360128708506686,-14.69188950913929,0.005039892214761412,-13.91973306775272,0.0042963440152752694,-13.393372132673857,0.002743529374832902,0.8303767293691635
