gaiadr2_id,ra,dec,e_ra,e_dec,pmRA,pmDE,epoch_yr,time_bjd,airmass,mag_g,emag_g,mag_r,emag_r,mag_i,emag_i,mag_z,emag_z,obs_mag_g,obs_emag_g,obs_mag_r,obs_emag_r,obs_mag_i,obs_emag_i,obs_mag_z,obs_emag_z
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.569830829,1.3868480282419848,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.377421551665453,0.010097271813200595,-14.614861153308725,0.01536158033451891,-13.887362810561637,0.004112295185552298,-13.263680517120646,0.02188738470296049
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.579944335,1.3151165490968981,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.393268680947486,0.010150566680514223,-14.626491864607756,0.020977461123612998,-13.892611294632172,0.002559914271949834,-13.271962494068596,0.02452950390113392
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.5899335435,1.255113013070157,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.411921642175042,0.005177571567205966,-14.648876051878919,0.01650316195149762,-13.896483463960042,0.0027609483852220067,-13.301949596903528,0.02857843632010257
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.5999208298,1.2041994984748496,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.427886954784633,0.00618065981338468,-14.66398016690498,0.008359227371587044,-13.902407871865623,0.0030108576986821243,-13.32329770301352,0.019104919587080382
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.6099103186,1.160936899297996,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.438992072337197,0.00367978221373198,-14.674669054399596,0.0033909567901312583,-13.904205906999465,0.0027849827507464256,-13.359990737370635,0.0038618050599286543
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.6199075663,1.124314284822808,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.450003321959564,0.004157890891758444,-14.681998190556477,0.003913159284148965,-13.910001542329546,0.003474004241703235,-13.362196618977375,0.006930260784833932
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.6298852204,1.0935494582988217,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.457138887029485,0.002069870275500648,-14.685466864852541,0.003328276949991868,-13.913323613851494,0.0018151483621852125,-13.359528085676677,0.010328957957121958
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.639882437,1.0679146266607122,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.463244205612096,0.0025411765060879077,-14.689354602913774,0.0026824242090078623,-13.916140786182492,0.002287085480554867,-13.370190627810418,0.004920554614579186
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.64987938,1.0469226340702718,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.470171582797441,0.0025143408845181904,-14.691635552746352,0.0031561810322513198,-13.9192096784423,0.0025750588117143965,-13.378436160781703,0.004887454691596134
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.669848907,1.0174721416178385,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.476636161594893,0.002073124638685476,-14.694293411415572,0.0046521712363754245,-13.92299295685582,0.0028170205123278984,-13.375914875322856,0.013720863974634831
4.083150710237259e+18,290.81428939619,-20.20076653274,1.0861111111111113e-08,1.0500000000000001e-08,14.379,-9.03,2015.5,2460477.679862647,1.00843304011508,12.288921899223327,0.006496922360353569,11.899324522590637,0.0041593270513291545,11.779459857654572,0.009409569226391648,11.760312747192383,0.0038897300878675623,-13.478331475698413,0.002985762435187261,-14.696320268934276,0.004187542081850724,-13.92393222274139,0.0023638425993310896,-13.364849925925078,0.014294118084533253
